USERID|ROWNUM
1088904|544
1089024|545
1089089|546
1089290|547
1089319|548
1089515|549
1089546|550
1089765|551
1089772|552
1089776|553
1090000|554
1090155|555
1090157|556
1090183|557
1090200|558
1090219|559
1090235|560
1090281|561
1090413|562
1090928|563
1091108|564
1091240|565
1091317|566
1091452|567
1091573|568
1091583|569
1091721|570
1091754|571
1091765|572
1091766|573
1091786|574
1091853|575
1092039|576
1092235|577
1092253|578
1092635|579
1092661|580
1092892|581
1092921|582
1093024|583
1093120|584
1093212|585
1093254|586
1093302|587
1093348|588
1093403|589
1093621|590
1093638|591
1094080|592
1094088|593
1094141|594
1094165|595
1094238|596
1094248|597
1094277|598
1094282|599
1094379|600
1094770|601
1094845|602
1094870|603
1094892|604
1094984|605
1095174|606
1095517|607
1095622|608
1095737|609
1095949|610
1096130|611
1096220|612
1096292|613
1096410|614
1096918|615
1097248|616
1097268|617
1097332|618
1097475|619
1097705|620
1097734|621
1097881|622
1097884|623
1097895|624
1098062|625
1098090|626
1098115|627
1098848|628
1098902|629
1098942|630
1098979|631
1099104|632
1099223|633
1099600|634
1099686|635
1099911|636
1099967|637
1100292|638
1100328|639
1100332|640
1100595|641
1100697|642
1100848|643
1101516|644
1101839|645
1101971|646
1102092|647
1102371|648
1102496|649
1102618|650
1102752|651
1102799|652
1102847|653
1102863|654
1102999|655
1103064|656
1103096|657
1103169|658
1103192|659
1103585|660
1103625|661
1103751|662
1103792|663
1103832|664
1104077|665
1104137|666
1104268|667
1104336|668
1104415|669
1104427|670
1104579|671
1105028|672
1105226|673
1105297|674
1105436|675
1105646|676
1105851|677
1105985|678
1106259|679
1106281|680
1106292|681
1106355|682
1106539|683
1106673|684
1107040|685
1107156|686
1107211|687
1107455|688
1107619|689
1107796|690
1107802|691
1107963|692
1108037|693
1108102|694
1108171|695
1108609|696
1108685|697
1108838|698
1108841|699
1109155|700
1109229|701
1109268|702
1109292|703
1109563|704
1109625|705
1109744|706
1109760|707
1110222|708
1110549|709
1110698|710
1111064|711
1111277|712
1111825|713
1111853|714
1111880|715
1111882|716
1111883|717
1111916|718
1111920|719
1112006|720
1112213|721
1112235|722
1112238|723
1112401|724
1112502|725
1112577|726
1112742|727
1113162|728
1113331|729
1113457|730
1113477|731
1113626|732
1113776|733
1114195|734
1114236|735
1114320|736
1114343|737
1114538|738
1114661|739
1114666|740
1114681|741
1114981|742
1115063|743
1115357|744
1115574|745
1115727|746
1115775|747
1115867|748
1115925|749
1116105|750
1116172|751
1116372|752
1116429|753
1116565|754
1116577|755
1116760|756
1116799|757
1116891|758
1116997|759
1117105|760
1117342|761
1117736|762
1117884|763
1118021|764
1118142|765
1118196|766
1118246|767
1118308|768
1118309|769
1118377|770
1118429|771
1118618|772
1118682|773
1118712|774
1118914|775
1118960|776
1119003|777
1119013|778
1119061|779
1119209|780
1119252|781
1119296|782
1119399|783
1119471|784
1119889|785
1120218|786
1120265|787
1120280|788
1120329|789
1120340|790
1120481|791
1120582|792
1120638|793
1120698|794
1121470|795
1121637|796
1121737|797
1121768|798
1121865|799
1121872|800
1122047|801
1122075|802
1122172|803
1122359|804
1122470|805
1122708|806
1123086|807
1123139|808
1123272|809
1123363|810
1123368|811
1123529|812
1123644|813
1123932|814
1124005|815
1124505|816
1125004|817
1125109|818
1125214|819
1125220|820
1125229|821
1125342|822
1125377|823
1125517|824
1125775|825
1126471|826
1126523|827
1126532|828
1126626|829
1126752|830
1126937|831
1126981|832
1126998|833
1127072|834
1127130|835
1127159|836
1127205|837
1127536|838
1127550|839
1127650|840
1127674|841
1128215|842
1128300|843
1128450|844
1128501|845
1128765|846
1128974|847
1128988|848
1129191|849
1129371|850
1129640|851
1129788|852
1129865|853
1129918|854
1130132|855
1130485|856
1130715|857
1130884|858
1130974|859
1131235|860
1131258|861
1131423|862
1131444|863
1131484|864
1131923|865
1132612|866
1132866|867
1132984|868
1133105|869
1133347|870
1133439|871
1133617|872
1133652|873
1133809|874
1134566|875
1134609|876
1134709|877
1134775|878
1135079|879
1135164|880
1135357|881
1135371|882
1135426|883
1135715|884
1135761|885
1135789|886
1135809|887
1135882|888
1136623|889
1136646|890
1136805|891
1136958|892
1137412|893
1137889|894
1138084|895
1138324|896
1138472|897
1138665|898
1138671|899
1138683|900
1138917|901
1139125|902
1139496|903
1139581|904
1139682|905
1139799|906
1139859|907
1140561|908
1140586|909
1141298|910
1141413|911
1141587|912
1141680|913
1141748|914
1141885|915
1141902|916
1142072|917
1142701|918
1142964|919
1143093|920
1143341|921
1143412|922
1143448|923
1143475|924
1143935|925
1144059|926
1144823|927
1144950|928
1145009|929
1145228|930
1145622|931
1145697|932
1145751|933
1145943|934
1145982|935
1146009|936
1146097|937
1146110|938
1146140|939
1146660|940
1146917|941
1147164|942
1147259|943
1147374|944
1147567|945
1147612|946
1147734|947
1147761|948
1147937|949
1148133|950
1148170|951
1148336|952
1148343|953
1148446|954
1148524|955
1148679|956
1148687|957
1148898|958
1148976|959
1149006|960
1149186|961
1149218|962
1149359|963
1149473|964
1149475|965
1149610|966
1149941|967
1150558|968
1150944|969
1151010|970
1151037|971
1151255|972
1151351|973
1151556|974
1151595|975
1151713|976
1151754|977
1151993|978
1152228|979
1152256|980
1152276|981
1152361|982
1152363|983
1152705|984
1152776|985
1152803|986
1152854|987
1152944|988
1152973|989
1153286|990
1153476|991
1153514|992
1153822|993
1153879|994
1153928|995
1154218|996
1154253|997
1154327|998
1154341|999
1154494|1000
1154532|1001
1154563|1002
1154628|1003
1154629|1004
1154839|1005
1154918|1006
1155439|1007
1155507|1008
1155587|1009
1156004|1010
1156019|1011
1156083|1012
1156232|1013
1156320|1014
1156655|1015
1156667|1016
1157591|1017
1157686|1018
1157852|1019
1158138|1020
1158182|1021
1158298|1022
1158726|1023
1158752|1024
1158787|1025
1158927|1026
1159282|1027
1159379|1028
1159384|1029
1159444|1030
1159648|1031
1159808|1032
1159831|1033
1159896|1034
1159927|1035
1160160|1036
1160403|1037
1160558|1038
1160565|1039
1160581|1040
1160588|1041
1160614|1042
1160686|1043
1160877|1044
1160952|1045
1160954|1046
1161113|1047
1161145|1048
1161290|1049
1161460|1050
1161730|1051
1161810|1052
1162180|1053
1162455|1054
1162562|1055
1162569|1056
1162696|1057
1162773|1058
1162905|1059
1163039|1060
1163414|1061
1163588|1062
1163610|1063
1163779|1064
1163793|1065
1163990|1066
1164193|1067
1164207|1068
1164330|1069
1164480|1070
1164568|1071
1164742|1072
1164980|1073
1165248|1074
1165371|1075
1165888|1076
1166049|1077
1166165|1078
1166258|1079
1166353|1080
1166413|1081
1166722|1082
1166915|1083
1167132|1084
1167682|1085
1167848|1086
1168162|1087
1168326|1088
1168650|1089
1168822|1090
1168860|1091
1168911|1092
1169155|1093
1169193|1094
1169227|1095
1169543|1096
1169654|1097
1169666|1098
1169911|1099
1169923|1100
1170155|1101
1170913|1102
1171008|1103
1171127|1104
1171157|1105
1171227|1106
1171289|1107
1171377|1108
1171379|1109
1171679|1110
1171688|1111
1171749|1112
1172106|1113
1172227|1114
1172257|1115
1172334|1116
1172473|1117
1172474|1118
1172702|1119
1173256|1120
1173310|1121
1173401|1122
1173402|1123
1173478|1124
1173503|1125
1173577|1126
1173620|1127
1173653|1128
1173811|1129
1173868|1130
1174038|1131
1174136|1132
1174309|1133
1174391|1134
1174501|1135
1174868|1136
1175040|1137
1175052|1138
1175148|1139
1175412|1140
1175575|1141
1175584|1142
1175725|1143
1175843|1144
1176363|1145
1176503|1146
1176582|1147
1176634|1148
1176641|1149
1176810|1150
1176884|1151
1176895|1152
1177054|1153
1177097|1154
1177375|1155
1177850|1156
1177982|1157
1178172|1158
1178314|1159
1178325|1160
1178395|1161
1178652|1162
1178910|1163
1179092|1164
1179230|1165
1179351|1166
1179481|1167
1179618|1168
1179702|1169
1179913|1170
1179943|1171
1179954|1172
1180122|1173
1180138|1174
1180158|1175
1180173|1176
1180527|1177
1180560|1178
1180591|1179
1180758|1180
1180766|1181
1181312|1182
1181576|1183
1181652|1184
1181796|1185
1181907|1186
1181944|1187
1182028|1188
1182448|1189
1182477|1190
1182618|1191
1182803|1192
1182830|1193
1182940|1194
1183117|1195
1183201|1196
1183214|1197
1183404|1198
1183425|1199
1183445|1200
1183495|1201
1183540|1202
1183596|1203
1183792|1204
1183854|1205
1183892|1206
1183940|1207
1184057|1208
1184123|1209
1184145|1210
1184202|1211
1184415|1212
1184822|1213
1184959|1214
1185657|1215
1185704|1216
1185718|1217
1185814|1218
1185939|1219
1186018|1220
1186051|1221
1186073|1222
1186117|1223
1186201|1224
1186302|1225
1186365|1226
1186592|1227
1186724|1228
1186799|1229
1186892|1230
1186951|1231
1187121|1232
1187200|1233
1187220|1234
1187470|1235
1187612|1236
1188005|1237
1188026|1238
1188267|1239
1188332|1240
1188338|1241
1188548|1242
1188690|1243
1188774|1244
1188809|1245
1188883|1246
1189069|1247
1189097|1248
1189574|1249
1189716|1250
1189792|1251
1189912|1252
1190063|1253
1190463|1254
1190472|1255
1190567|1256
1190833|1257
1190962|1258
1190990|1259
1191000|1260
1191013|1261
1191102|1262
1191127|1263
1191166|1264
1191310|1265
1191338|1266
1191339|1267
1191384|1268
1191424|1269
1191489|1270
1191597|1271
1191605|1272
1191832|1273
1191868|1274
1191913|1275
1191940|1276
1191971|1277
1192333|1278
1192494|1279
1192511|1280
1192584|1281
